experiment,delay_ms,task_count,asyncio_wall_time_s,threadpool_wall_time_s,speedup_asyncio_vs_threadpool,asyncio_throughput,threadpool_throughput,asyncio_peak_rss_mb,threadpool_peak_rss_mb
sleep_io,10,100,0.013673,0.026192,1.916,34874.102,3856.469,83.46,83.701
sleep_io,10,1000,0.019621,0.081127,4.135,66325.177,12392.55,84.025,102.008
sleep_io,10,5000,0.05249,0.25641,4.885,96222.331,19631.76,85.952,109.979
sleep_io,10,10000,0.125365,0.473125,3.774,79953.281,21143.583,88.759,115.438
sleep_io,50,100,0.060371,0.072902,1.208,1663.618,1382.27,88.845,96.004
sleep_io,50,1000,0.066276,0.226698,3.421,15180.771,4412.208,88.848,110.484
sleep_io,50,5000,0.10135,0.899677,8.877,49576.907,5557.715,88.84,113.077
sleep_io,50,10000,0.149345,1.764392,11.814,66989.875,5667.795,89.69,115.482
sleep_io,100,100,0.105402,0.116678,1.107,948.779,857.493,88.819,95.467
sleep_io,100,1000,0.126869,0.422289,3.329,7904.729,2368.051,89.128,109.928
sleep_io,100,5000,0.161328,1.750059,10.848,31695.23,2857.115,88.465,111.779
sleep_io,100,10000,0.191079,3.451139,18.061,52347.386,2897.597,90.289,115.551
